Contrato,Data,Hor,Marcações Realizadas
20953,30/08/2021,3000,13:14 19:16
,31/08/2021,3000,06:50 12:00 13:00 18:01
30317,30/08/2021,3064,15:35 20:00 21:00 00:05
,31/08/2021,3064,15:38 20:00 21:00 00:07
30399,30/08/2021,3063,07:38 12:00 13:00 16:08
30437,31/08/2021,3054,23:36 04:00 05:00 07:58
30438,29/08/2021,,Repouso Remunerado 00:00
,30/08/2021,3052,07:39 12:00 13:00 16:00
,31/08/2021,3052,07:44 12:00 13:00 16:00
30439,30/08/2021,,Repouso Remunerado 15:55 23:55
30458,31/08/2021,,Compensado 23:55 07:55
30468,29/08/2021,3054,
,30/08/2021,3054,
30494,30/08/2021,3052,07:51 12:00 13:00 16:01
30539,29/08/2021,3053,15:58 20:00
30541,29/08/2021,3052,07:42 12:00 13:00 16:04
,30/08/2021,3053,15:35 20:00 21:00 00:00
,31/08/2021,3053,15:31 20:00 21:00 00:00
30554,29/08/2021,,Compensado 15:57
,30/08/2021,,Repouso Remunerado 23:55
30563,30/08/2021,3000,
,31/08/2021,3000,
30596,31/08/2021,3052,07:56 12:00 13:00 16:06
30601,31/08/2021,,Compensado 15:57 23:56
30606,31/08/2021,3054,23:55 04:00
50104,29/08/2021,3054,23:43 04:00 05:00 08:00
,30/08/2021,3054,23:40 04:00 05:00 08:00
